Sample	Consensus	Rank	Taxid	Count	Disambiguation	Percent of total
Lasagne_clean	Bos taurus	species	9913	4992	Bos taurus	71.41
Lasagne_clean	Sus scrofa	species	9823	1999	Sus scrofa	28.59
